tcin,product_title,brand_name,marketplace,clean_price,primary_image_url,review_id,review_author,review_nickname,review_title,review_text,rating,tcin_2,age
14025792,Munchkin White Hot Safety Bath Ducky,Munchkin,,2.89,https://target.scene7.com/is/image/Target/GUEST_cc032d78-7158-4818-9801-0489f5e50bf6,ddruyrovhagpp5dsfdl2djwwm,1689516565,Bunney,,So cute! My 5 month old loves playing (well chewing on this) in the bath,5,14025792,5 month
76152378,Bright Starts Oball Shaker Toy,Oball,,4.49,https://target.scene7.com/is/image/Target/GUEST_c67ab096-a690-4de7-b2d5-6fc05e1343f0,r119988_167596522Eg8UdKXDl,1664701806,Megan,bright starts oball shaker toy,my 5 month old son loved playing with this toy. easy for him to grasp it and chew on it.,5,76152378,5 month
76152378,Bright Starts Oball Shaker Toy,Oball,,4.49,https://target.scene7.com/is/image/Target/GUEST_c67ab096-a690-4de7-b2d5-6fc05e1343f0,r119988_162069882MvXr2cFtQ,3123754421,Miss diane,Fun little first rattle,This is a easy gripping lightweight rattle and the colorful beads peak my 5 month old.,5,76152378,5 month
76152378,Bright Starts Oball Shaker Toy,Oball,,4.49,https://target.scene7.com/is/image/Target/GUEST_c67ab096-a690-4de7-b2d5-6fc05e1343f0,r119988_16169552RYgH2b038J,4010177118,emily,"Lightweight, not noisy enough","Like that this is lightweight for babies to hold, but my 5 month old wasn't too interested, since the rattle is very quiet and minimal. the beads are very light and don't make much noise. It is easy for him to hold when he does hold it though. He likes chewing on the green parts.",4,76152378,5 month
79494462,Eric Carle Hungry Caterpillar Soft Book - White,Eric Carle,,5.99,https://target.scene7.com/is/image/Target/GUEST_22d90e2c-547b-479f-8f9d-7711ca348410,r119988_16723277V0AI9JxspC,20016333359,Kayykayy,Nice,"Super cute , has ring to attach it to things , makes fun crinkle sound, corner of page has teether, my 5 month old loves chewing on the whole thing",5,79494462,5 month
80233568,Frida Baby Not-Too-Cold-To-Hold Teether - 3ct,Frida Baby,,9.99,https://target.scene7.com/is/image/Target/GUEST_7c3eedbc-57dc-4874-a72c-df8f947de7b9,r119988_16262727BrnHlzaOxi,2126227785,Samantha,Another Frida gold product!,My 5 month old son loves this teether! It’s not cold on his hands and the fun changeable textures and shapes keep him interested. Highly recommend!,5,80233568,5 month
15993444,Baby Banana Infant Teething Toothbrush,Baby Banana,,8.95,https://target.scene7.com/is/image/Target/GUEST_45d099c0-b115-4f52-bbe9-8d71ea21972c,r119988_164202705MrN49hxl9,7983593556,Liz P,My haby loves it!,My 5 month old baby loves this banana toothbrush. She does not have teeth yet but she really enjoys chewing on the silicone bristles and the oral sensory input this product provides. I would definitely buy this again.,5,15993444,5 month
15993444,Baby Banana Infant Teething Toothbrush,Baby Banana,,8.95,https://target.scene7.com/is/image/Target/GUEST_45d099c0-b115-4f52-bbe9-8d71ea21972c,r119988_160809242WvuzUnWHe,2059578741,Sam,Recommend for teething babies,"My 5 month old quickly figured out that the soft bristles helped with his gum itching. Easy to clean, easy for him to hold and due to its bright color, easy to find around the house!",5,15993444,5 month
15993444,Baby Banana Infant Teething Toothbrush,Baby Banana,,8.95,https://target.scene7.com/is/image/Target/GUEST_45d099c0-b115-4f52-bbe9-8d71ea21972c,hys1rwzjbao8mmu9khszs8rzd,7977876406,HV,Good for teething babies,This has been a game changer for my teething 5 month old. It is one of the few toys that he can control with his hands at this age to give him relief from the discomfort of teething.,5,15993444,5 month
15993444,Baby Banana Infant Teething Toothbrush,Baby Banana,,8.95,https://target.scene7.com/is/image/Target/GUEST_45d099c0-b115-4f52-bbe9-8d71ea21972c,35h2n8hhmoee2wvrxpx6mjio7,1689516565,Bunney,,My 5 month old baby girl has her bottom two teeth and I think her top one is coming in now. She loves this banana! The little tooth brush part must feel really good on her little teeth and gums. Sometimes I put it in the freezer and she enjoys it cold.,5,15993444,5 month
